Mpha_RNA1086_R9	gene_0
Aech_RNA3588_R3	gene_11396
Mpha_RNA17166_R0	gene_11397
Aech_RNA17816_R0	gene_11398
Aech_RNA17815_R1	gene_11399
Mpha_RNA17168_R0	gene_11400
Cbir_RNA24078_R3	gene_11401
Mpha_RNA17169_R0	gene_11402
Mpha_RNA17174_R0	gene_11403
Mpha_RNA17176_R0	gene_11404
Sinv_RNA15329_R0	gene_11405
Mpha_RNA17178_R0	gene_11405
Dmel_RNA25050_R0	gene_11405
Mpha_RNA17182_R0	gene_11406
Mpha_RNA17170_R0	gene_11407
Cbir_RNA3316_R0	gene_11407
Nvit_RNA9396_R0	gene_11407
Cbir_RNA18426_R0	gene_11407
Cbir_RNA12349_R0	gene_11407
Mpha_RNA17171_R0	gene_11408
Sinv_RNA15338_R0	gene_11408
Mpha_RNA17172_R0	gene_11409
Mpha_RNA17173_R0	gene_11409
Mpha_RNA17175_R0	gene_11410
Lhum_RNA11519_R0	gene_11410
Mpha_RNA17177_R0	gene_11411
Nvit_RNA13833_R0	gene_11411
Mpha_RNA17180_R0	gene_11412
Aech_RNA14682_R0	gene_11412
Amel_RNA154_R2	gene_11412
Nvit_RNA2543_R0	gene_11413
Mpha_RNA17186_R0	gene_11414
Mpha_RNA17183_R0	gene_11414
Mpha_RNA17188_R0	gene_11415
Mpha_RNA17193_R0	gene_11416
Mpha_RNA17194_R0	gene_11417
Lhum_RNA130_R1	gene_11418
Dqua_RNA4174_R0	gene_11419
Mpha_RNA17199_R0	gene_11420
Mpha_RNA17200_R0	gene_11421
Nvit_RNA24593_R0	gene_11422
Dqua_RNA2825_R0	gene_11423
Mpha_RNA17203_R0	gene_11424
Dmel_RNA32115_R4	gene_11424
Lhum_RNA23403_R5	gene_11424
Dqua_RNA758_R4	gene_11424
Amel_RNA13108_R5	gene_11424
Dmel_RNA26019_R5	gene_11424
Dmel_RNA9078_R0	gene_11425
Sinv_RNA18732_R0	gene_11426
Mpha_RNA17208_R0	gene_11427
Mpha_RNA17207_R0	gene_11428
Mpha_RNA17209_R0	gene_11429
Mpha_RNA17211_R0	gene_11430
Dqua_RNA2042_R0	gene_11430
Mpha_RNA17212_R0	gene_11431
Mpha_RNA17214_R0	gene_11431
Mpha_RNA17216_R0	gene_11432
Mpha_RNA17215_R0	gene_11433
Mpha_RNA17220_R0	gene_11434
Mpha_RNA17225_R0	gene_11435
Mpha_RNA17226_R0	gene_11436
Mpha_RNA17227_R0	gene_11436
Mpha_RNA17250_R0	gene_11437
Mpha_RNA17224_R0	gene_11438
Aech_RNA20873_R0	gene_11438
Mpha_RNA17235_R0	gene_11439
Mpha_RNA17228_R0	gene_11439
Mpha_RNA17232_R0	gene_11439
Mpha_RNA17234_R0	gene_11439
Sinv_RNA15261_R0	gene_11439
Sinv_RNA15259_R0	gene_11439
Sinv_RNA15263_R0	gene_11439
Lhum_RNA19495_R0	gene_11439
Mpha_RNA17239_R0	gene_11440
Mpha_RNA17247_R0	gene_11441
Amel_RNA23922_R0	gene_11441
Aech_RNA2979_R0	gene_11441
Aech_RNA2982_R0	gene_11441
Aech_RNA20613_R0	gene_11442
Mpha_RNA17251_R0	gene_11443
Mpha_RNA17252_R0	gene_11444
Aech_RNA15056_R0	gene_11445
Mpha_RNA17261_R0	gene_11446
Aech_RNA15053_R0	gene_11446
Nvit_RNA8331_R0	gene_11446
Amel_RNA27881_R3	gene_11446
Dmel_RNA1231_R3	gene_11446
Mpha_RNA17264_R0	gene_11447
Mpha_RNA17256_R0	gene_11448
Mpha_RNA17255_R0	gene_11448
Mpha_RNA17260_R0	gene_11449
Dqua_RNA18842_R0	gene_11449
Mpha_RNA17262_R0	gene_11450
Dmel_RNA6328_R0	gene_11450
Mpha_RNA17265_R0	gene_11451
Sinv_RNA14022_R0	gene_11452
Mpha_RNA17266_R0	gene_11453
Mpha_RNA17270_R0	gene_11453
Mpha_RNA17272_R0	gene_11454
Mpha_RNA17275_R0	gene_11455
Amel_RNA9139_R0	gene_11455
Mpha_RNA17279_R0	gene_11456
Mpha_RNA17271_R0	gene_11457
Lhum_RNA23318_R0	gene_11457
Mpha_RNA17276_R0	gene_11458
Sinv_RNA18265_R0	gene_11458
Amel_RNA9140_R0	gene_11458
Lhum_RNA23295_R0	gene_11459
Mpha_RNA17283_R0	gene_11460
Mpha_RNA17281_R0	gene_11461
Mpha_RNA17290_R0	gene_11462
Mpha_RNA17288_R0	gene_11463
Mpha_RNA17289_R0	gene_11463
Cbir_RNA20485_R0	gene_11463
Dmel_RNA23867_R0	gene_11464
Amel_RNA23257_R0	gene_11465
Mpha_RNA17297_R0	gene_11466
Mpha_RNA17293_R0	gene_11467
Mpha_RNA17298_R0	gene_11468
Aech_RNA16663_R4	gene_11468
Mpha_RNA17305_R0	gene_11469
Lhum_RNA23361_R0	gene_11469
Mpha_RNA17306_R0	gene_11470
Mpha_RNA17300_R0	gene_11471
Mpha_RNA17299_R0	gene_11471
Lhum_RNA23366_R0	gene_11471
Mpha_RNA17303_R0	gene_11472
Mpha_RNA17307_R0	gene_11473
Cbir_RNA23843_R1	gene_11473
Mpha_RNA17314_R0	gene_11474
Mpha_RNA250_R7	gene_11474
Mpha_RNA729_R5	gene_11474
Sinv_RNA7201_R6	gene_11474
Mpha_RNA17316_R0	gene_11475
Mpha_RNA17320_R0	gene_11476
Mpha_RNA17315_R0	gene_11477
Mpha_RNA17319_R0	gene_11478
Mpha_RNA17323_R0	gene_11479
Sinv_RNA7381_R0	gene_11480
Mpha_RNA17330_R0	gene_11481
Nvit_RNA23723_R0	gene_11481
Mpha_RNA17327_R0	gene_11482
Mpha_RNA17331_R0	gene_11483
Cbir_RNA6922_R1	gene_11484
Amel_RNA25271_R1	gene_11485
Nvit_RNA6585_R0	gene_11486
Mpha_RNA17335_R0	gene_11487
Cbir_RNA4854_R4	gene_11488
Mpha_RNA17336_R0	gene_11489
Sinv_RNA7734_R0	gene_11489
Amel_RNA22465_R3	gene_11490
Mpha_RNA17339_R0	gene_11491
Mpha_RNA17337_R0	gene_11492
Mpha_RNA17342_R0	gene_11493
Aech_RNA3857_R0	gene_11493
Mpha_RNA17341_R0	gene_11493
Sinv_RNA16331_R0	gene_11494
Mpha_RNA17350_R0	gene_11495
Mpha_RNA17349_R0	gene_11495
Sinv_RNA21070_R0	gene_11495
Mpha_RNA17351_R0	gene_11496
Mpha_RNA17344_R0	gene_11497
Amel_RNA6169_R0	gene_11498
Mpha_RNA17354_R0	gene_11499
Mpha_RNA17356_R0	gene_11500
Amel_RNA25903_R0	gene_11500
Mpha_RNA17359_R0	gene_11501
Mpha_RNA17369_R0	gene_11502
Mpha_RNA17370_R0	gene_11502
Aech_RNA5493_R0	gene_11503
Dmel_RNA27192_R0	gene_11503
Mpha_RNA17382_R0	gene_11504
Lhum_RNA15442_R0	gene_11504
Aech_RNA5487_R0	gene_11504
Sinv_RNA13927_R0	gene_11504
Nvit_RNA35_R1	gene_11504
Mpha_RNA17384_R0	gene_11505
Mpha_RNA17385_R0	gene_11506
Mpha_RNA17387_R0	gene_11507
Mpha_RNA17388_R0	gene_11507
Mpha_RNA17386_R0	gene_11507
Mpha_RNA17390_R0	gene_11507
Mpha_RNA17389_R0	gene_11507
Mpha_RNA17392_R0	gene_11508
Aech_RNA5477_R0	gene_11508
Lhum_RNA2952_R0	gene_11508
Nvit_RNA4514_R0	gene_11508
Mpha_RNA17394_R0	gene_11509
Mpha_RNA17395_R0	gene_11510
Mpha_RNA17358_R0	gene_11511
Mpha_RNA17366_R0	gene_11512
Sinv_RNA13909_R0	gene_11513
Mpha_RNA17381_R0	gene_11514
Dmel_RNA17403_R0	gene_11514
Mpha_RNA17383_R0	gene_11515
Dqua_RNA11601_R0	gene_11516
Mpha_RNA17391_R0	gene_11517
Mpha_RNA17393_R0	gene_11518
Mpha_RNA17400_R0	gene_11519
Mpha_RNA17401_R0	gene_11519
Sinv_RNA1911_R0	gene_11519
Dqua_RNA1142_R0	gene_11520
Cbir_RNA25520_R3	gene_11520
Mpha_RNA17399_R0	gene_11521
Sinv_RNA1913_R0	gene_11521
Mpha_RNA17403_R0	gene_11522
Sinv_RNA5442_R0	gene_11523
Sinv_RNA18555_R0	gene_11524
Mpha_RNA2215_R4	gene_11525
Nvit_RNA8890_R0	gene_11526
Mpha_RNA5024_R6	gene_11527
Dqua_RNA1605_R0	gene_11528
Mpha_RNA17414_R0	gene_11529
Aech_RNA13937_R0	gene_11530
Sinv_RNA14551_R0	gene_11530
Cbir_RNA18154_R0	gene_11531
Mpha_RNA17413_R0	gene_11532
Mpha_RNA19621_R0	gene_11532
Mpha_RNA17416_R0	gene_11533
Sinv_RNA13079_R0	gene_11533
Mpha_RNA17417_R0	gene_11534
Mpha_RNA17418_R0	gene_11534
Mpha_RNA17420_R0	gene_11535
Mpha_RNA17423_R0	gene_11536
Lhum_RNA1747_R0	gene_11537
Dmel_RNA27890_R0	gene_11537
Dmel_RNA27889_R0	gene_11537
Dmel_RNA27891_R0	gene_11537
Mpha_RNA17422_R0	gene_11538
Mpha_RNA17421_R0	gene_11538
Cbir_RNA22234_R0	gene_11539
Mpha_RNA17440_R0	gene_11540
Dmel_RNA11008_R4	gene_11541
Mpha_RNA17445_R0	gene_11542
Mpha_RNA17444_R0	gene_11542
Dmel_RNA14747_R0	gene_11542
Mpha_RNA17448_R0	gene_11543
Mpha_RNA17449_R0	gene_11544
Mpha_RNA17450_R0	gene_11545
Sinv_RNA1180_R0	gene_11545
Mpha_RNA17451_R0	gene_11546
Amel_RNA10371_R0	gene_11546
Mpha_RNA17452_R0	gene_11547
Mpha_RNA17456_R0	gene_11548
Mpha_RNA17458_R0	gene_11549
Mpha_RNA17457_R0	gene_11549
Sinv_RNA1176_R0	gene_11549
Mpha_RNA17460_R0	gene_11550
Mpha_RNA17459_R0	gene_11551
Mpha_RNA17462_R0	gene_11552
Mpha_RNA17463_R0	gene_11553
Mpha_RNA17468_R0	gene_11554
Mpha_RNA17470_R0	gene_11555
Mpha_RNA17441_R0	gene_11556
Mpha_RNA17443_R0	gene_11556
Lhum_RNA13527_R0	gene_11556
Dqua_RNA21389_R0	gene_11556
Mpha_RNA17447_R0	gene_11557
Mpha_RNA17455_R0	gene_11558
Mpha_RNA17464_R0	gene_11559
Mpha_RNA17465_R0	gene_11560
Mpha_RNA17469_R0	gene_11561
Sinv_RNA21058_R0	gene_11561
Mpha_RNA17474_R0	gene_11562
Sinv_RNA4811_R0	gene_11562
Dqua_RNA11567_R0	gene_11563
Mpha_RNA17476_R0	gene_11564
Mpha_RNA17477_R0	gene_11565
Mpha_RNA17479_R0	gene_11566
Mpha_RNA17481_R0	gene_11567
Mpha_RNA17484_R0	gene_11568
Mpha_RNA17485_R0	gene_11569
Sinv_RNA7659_R0	gene_11569
Mpha_RNA17487_R0	gene_11570
Mpha_RNA17486_R0	gene_11570
Sinv_RNA7657_R0	gene_11570
Mpha_RNA17478_R0	gene_11571
Mpha_RNA17480_R0	gene_11572
Mpha_RNA17482_R0	gene_11573
Mpha_RNA17483_R0	gene_11573
Cbir_RNA4514_R0	gene_11574
Mpha_RNA17492_R0	gene_11575
Mpha_RNA17491_R0	gene_11575
Mpha_RNA17499_R0	gene_11576
Dmel_RNA16642_R2	gene_11576
Mpha_RNA17503_R0	gene_11577
Mpha_RNA17504_R0	gene_11578
Sinv_RNA1158_R0	gene_11579
Mpha_RNA17501_R0	gene_11580
Mpha_RNA17502_R0	gene_11580
Cbir_RNA656_R0	gene_11580
Dmel_RNA24540_R0	gene_11580
Mpha_RNA17505_R0	gene_11581
Mpha_RNA17507_R0	gene_11582
Lhum_RNA15355_R0	gene_11582
Mpha_RNA17509_R0	gene_11583
Mpha_RNA17510_R0	gene_11584
Sinv_RNA2019_R0	gene_11585
Sinv_RNA2019_R3	gene_11586
Mpha_RNA17517_R0	gene_11587
Mpha_RNA17520_R0	gene_11588
Mpha_RNA925_R1	gene_11588
Mpha_RNA17523_R0	gene_11589
Mpha_RNA17525_R0	gene_11590
Mpha_RNA17506_R0	gene_11591
Sinv_RNA2009_R0	gene_11591
Nvit_RNA1147_R0	gene_11591
Mpha_RNA17508_R0	gene_11592
Sinv_RNA2012_R0	gene_11592
Sinv_RNA2011_R0	gene_11592
Mpha_RNA17511_R0	gene_11593
Mpha_RNA17518_R0	gene_11594
Mpha_RNA17533_R0	gene_11595
Sinv_RNA18632_R3	gene_11596
Mpha_RNA17540_R0	gene_11597
Aech_RNA12026_R0	gene_11598
Mpha_RNA17544_R0	gene_11599
Mpha_RNA17545_R0	gene_11599
Amel_RNA22173_R0	gene_11599
Mpha_RNA17550_R0	gene_11600
Aech_RNA15331_R5	gene_11600
Mpha_RNA17538_R0	gene_11601
Dqua_RNA16299_R0	gene_11602
Mpha_RNA17541_R0	gene_11603
Mpha_RNA17543_R0	gene_11604
Mpha_RNA17548_R0	gene_11605
Dmel_RNA28218_R1	gene_11605
Dqua_RNA19979_R0	gene_11606
Mpha_RNA17556_R0	gene_11607
Mpha_RNA17557_R0	gene_11607
Dqua_RNA19978_R0	gene_11607
Mpha_RNA17558_R0	gene_11608
Mpha_RNA17559_R0	gene_11609
Sinv_RNA15786_R0	gene_11609
Mpha_RNA6938_R2	gene_11609
Aech_RNA20720_R2	gene_11609
Mpha_RNA17562_R1	gene_11609
Amel_RNA28715_R4	gene_11609
Aech_RNA20719_R2	gene_11609
Mpha_RNA17562_R0	gene_11610
Amel_RNA28715_R3	gene_11610
Lhum_RNA2408_R0	gene_11611
Dmel_RNA34317_R0	gene_11611
Mpha_RNA17565_R0	gene_11612
Mpha_RNA17587_R0	gene_11613
Mpha_RNA17588_R0	gene_11613
Mpha_RNA17564_R0	gene_11614
Mpha_RNA17568_R0	gene_11615
Mpha_RNA17586_R0	gene_11616
Mpha_RNA17584_R0	gene_11616
Mpha_RNA17585_R0	gene_11616
Lhum_RNA5041_R5	gene_11616
Mpha_RNA17589_R0	gene_11617
Mpha_RNA17590_R0	gene_11618
Aech_RNA2717_R0	gene_11618
Dqua_RNA6357_R0	gene_11618
Mpha_RNA17593_R0	gene_11619
Sinv_RNA17009_R5	gene_11620
Sinv_RNA15320_R8	gene_11621
Sinv_RNA20068_R2	gene_11622
Sinv_RNA8669_R0	gene_11623
Amel_RNA18534_R0	gene_11623
Mpha_RNA17600_R0	gene_11624
Lhum_RNA20625_R0	gene_11625
Mpha_RNA17601_R0	gene_11625
Sinv_RNA8666_R0	gene_11625
Mpha_RNA17602_R0	gene_11625
Sinv_RNA8661_R0	gene_11626
Mpha_RNA17604_R0	gene_11627
Lhum_RNA20622_R0	gene_11627
Mpha_RNA17607_R0	gene_11628
Mpha_RNA17608_R0	gene_11629
Mpha_RNA17610_R0	gene_11630
Mpha_RNA17596_R0	gene_11631
Mpha_RNA17595_R0	gene_11632
Mpha_RNA17605_R0	gene_11633
Cbir_RNA2380_R0	gene_11633
Mpha_RNA17612_R0	gene_11634
Sinv_RNA722_R0	gene_11635
Lhum_RNA14121_R0	gene_11636
Mpha_RNA17617_R0	gene_11637
Mpha_RNA17618_R0	gene_11637
Mpha_RNA17619_R0	gene_11637
Mpha_RNA17620_R0	gene_11638
Aech_RNA11871_R0	gene_11639
Nvit_RNA8766_R2	gene_11639
Mpha_RNA17616_R0	gene_11640
Mpha_RNA17621_R0	gene_11641
Amel_RNA11046_R0	gene_11641
Mpha_RNA17622_R0	gene_11642
Sinv_RNA12095_R0	gene_11643
Lhum_RNA14104_R0	gene_11644
Mpha_RNA17629_R0	gene_11644
Mpha_RNA17631_R0	gene_11644
Aech_RNA11869_R0	gene_11644
Mpha_RNA17634_R0	gene_11645
Amel_RNA13095_R0	gene_11646
Cbir_RNA1835_R0	gene_11647
Mpha_RNA17652_R0	gene_11648
Mpha_RNA17657_R0	gene_11649
Mpha_RNA17659_R0	gene_11650
Mpha_RNA17658_R0	gene_11650
Mpha_RNA17666_R0	gene_11651
Cbir_RNA21135_R6	gene_11652
Mpha_RNA17667_R0	gene_11653
Mpha_RNA17647_R0	gene_11654
Sinv_RNA5794_R0	gene_11654
Mpha_RNA17656_R0	gene_11655
Sinv_RNA3907_R0	gene_11655
Amel_RNA12327_R0	gene_11655
Cbir_RNA1930_R0	gene_11656
Mpha_RNA17662_R0	gene_11657
Aech_RNA17026_R9	gene_11658
Mpha_RNA17669_R0	gene_11659
Mpha_RNA17668_R0	gene_11659
Mpha_RNA17673_R0	gene_11660
Mpha_RNA17674_R0	gene_11660
Sinv_RNA14792_R1	gene_11660
Lhum_RNA5041_R3	gene_11660
Mpha_RNA17672_R0	gene_11661
Mpha_RNA17675_R0	gene_11662
Sinv_RNA5420_R4	gene_11662
Dmel_RNA2116_R7	gene_11663
Mpha_RNA17679_R0	gene_11664
Mpha_RNA17678_R0	gene_11664
Mpha_RNA17686_R0	gene_11665
Mpha_RNA17688_R0	gene_11666
Mpha_RNA17691_R0	gene_11667
Mpha_RNA17693_R0	gene_11668
Nvit_RNA23906_R0	gene_11668
Mpha_RNA17695_R0	gene_11669
Mpha_RNA17700_R0	gene_11670
Aech_RNA9695_R0	gene_11670
Mpha_RNA17705_R0	gene_11671
Dqua_RNA3041_R0	gene_11671
Mpha_RNA17706_R0	gene_11672
Dqua_RNA3061_R0	gene_11672
Mpha_RNA17709_R0	gene_11673
Mpha_RNA17694_R0	gene_11674
Dqua_RNA333_R0	gene_11674
Mpha_RNA17699_R0	gene_11675
Mpha_RNA17703_R0	gene_11676
Cbir_RNA15529_R0	gene_11676
Dmel_RNA16758_R0	gene_11676
Lhum_RNA9881_R0	gene_11677
Dmel_RNA5893_R3	gene_11677
Dqua_RNA3372_R3	gene_11677
Dmel_RNA26250_R0	gene_11677
Mpha_RNA17708_R0	gene_11678
Dmel_RNA29809_R0	gene_11678
Mpha_RNA17711_R0	gene_11679
Dqua_RNA10674_R0	gene_11679
Mpha_RNA17712_R0	gene_11680
Dmel_RNA15112_R4	gene_11681
Mpha_RNA17710_R0	gene_11682
Aech_RNA13974_R0	gene_11683
Aech_RNA11143_R0	gene_11684
Mpha_RNA17719_R0	gene_11685
Mpha_RNA17716_R0	gene_11685
Amel_RNA22465_R8	gene_11686
Mpha_RNA17721_R0	gene_11687
Mpha_RNA17722_R0	gene_11688
Mpha_RNA17723_R0	gene_11688
Sinv_RNA12252_R0	gene_11688
Mpha_RNA17724_R0	gene_11689
Mpha_RNA17726_R0	gene_11690
Mpha_RNA17720_R0	gene_11691
Mpha_RNA17725_R0	gene_11692
Mpha_RNA17731_R0	gene_11693
Mpha_RNA17729_R0	gene_11694
Sinv_RNA4555_R0	gene_11695
Aech_RNA1819_R0	gene_11696
Mpha_RNA17732_R0	gene_11697
Mpha_RNA17734_R0	gene_11698
Mpha_RNA17733_R0	gene_11699
Mpha_RNA1194_R1	gene_11699
Mpha_RNA17737_R0	gene_11700
Mpha_RNA17739_R0	gene_11701
Amel_RNA28263_R0	gene_11701
Nvit_RNA17564_R0	gene_11702
Mpha_RNA17743_R0	gene_11703
Mpha_RNA17744_R0	gene_11704
Mpha_RNA17746_R0	gene_11705
Mpha_RNA17747_R0	gene_11706
Mpha_RNA17748_R0	gene_11706
Aech_RNA16707_R2	gene_11706
Aech_RNA16701_R2	gene_11706
Sinv_RNA8848_R3	gene_11706
Mpha_RNA17750_R0	gene_11707
Nvit_RNA25679_R1	gene_11708
Aech_RNA20200_R0	gene_11709
Cbir_RNA22748_R0	gene_11710
Aech_RNA13869_R0	gene_11711
Lhum_RNA3252_R2	gene_11712
Mpha_RNA17755_R0	gene_11713
Mpha_RNA17758_R0	gene_11714
Mpha_RNA17764_R0	gene_11715
Aech_RNA1078_R0	gene_11715
Dmel_RNA25363_R0	gene_11715
Mpha_RNA17769_R0	gene_11716
Dqua_RNA507_R0	gene_11717
Mpha_RNA17763_R0	gene_11717
Mpha_RNA17766_R0	gene_11717
Aech_RNA1528_R0	gene_11718
Mpha_RNA17779_R0	gene_11719
Mpha_RNA17784_R0	gene_11720
Aech_RNA1521_R0	gene_11720
Mpha_RNA17785_R0	gene_11721
Sinv_RNA16114_R0	gene_11721
Mpha_RNA17789_R0	gene_11722
Aech_RNA5967_R0	gene_11722
Mpha_RNA17792_R0	gene_11723
Aech_RNA12557_R0	gene_11723
Aech_RNA12556_R0	gene_11723
Mpha_RNA17796_R0	gene_11724
Mpha_RNA17775_R0	gene_11725
Mpha_RNA17778_R0	gene_11726
Dqua_RNA16407_R0	gene_11727
Mpha_RNA17783_R0	gene_11728
Lhum_RNA3339_R0	gene_11729
Mpha_RNA17788_R0	gene_11730
Mpha_RNA17791_R0	gene_11731
Aech_RNA5966_R0	gene_11731
Dqua_RNA3286_R0	gene_11731
Mpha_RNA17794_R0	gene_11732
Mpha_RNA17793_R0	gene_11732
Mpha_RNA17795_R0	gene_11733
Lhum_RNA3337_R0	gene_11734
Dqua_RNA15947_R0	gene_11735
Mpha_RNA17798_R0	gene_11736
Mpha_RNA17800_R0	gene_11737
Mpha_RNA17801_R0	gene_11738
Sinv_RNA5708_R0	gene_11739
Lhum_RNA21936_R0	gene_11739
Amel_RNA28647_R4	gene_11740
Aech_RNA4551_R0	gene_11741
Aech_RNA15186_R0	gene_11742
Mpha_RNA17814_R0	gene_11743
Dmel_RNA12598_R0	gene_11743
Mpha_RNA17816_R0	gene_11744
Mpha_RNA17809_R0	gene_11745
Mpha_RNA17811_R0	gene_11746
Aech_RNA4545_R0	gene_11746
Dqua_RNA8356_R0	gene_11746
Dqua_RNA8358_R0	gene_11746
Dmel_RNA18429_R0	gene_11746
Mpha_RNA17818_R0	gene_11747
Mpha_RNA17825_R0	gene_11748
Mpha_RNA17826_R0	gene_11748
Aech_RNA21448_R0	gene_11749
Lhum_RNA723_R3	gene_11750
Mpha_RNA17828_R0	gene_11751
Aech_RNA11931_R0	gene_11752
Mpha_RNA17834_R0	gene_11753
Mpha_RNA17835_R0	gene_11754
Dqua_RNA22324_R0	gene_11754
Mpha_RNA17842_R0	gene_11755
Mpha_RNA17845_R0	gene_11756
Mpha_RNA17846_R0	gene_11756
Lhum_RNA10003_R0	gene_11756
Mpha_RNA17849_R0	gene_11757
Mpha_RNA17833_R0	gene_11758
Mpha_RNA17839_R0	gene_11759
Cbir_RNA24379_R0	gene_11760
Mpha_RNA17844_R0	gene_11761
Mpha_RNA17843_R0	gene_11761
Sinv_RNA13026_R0	gene_11761
Aech_RNA10332_R0	gene_11761
Dmel_RNA15059_R0	gene_11761
Mpha_RNA17847_R0	gene_11762
Mpha_RNA17848_R0	gene_11762
Mpha_RNA17850_R0	gene_11763
Mpha_RNA17851_R0	gene_11764
Sinv_RNA3581_R0	gene_11765
Nvit_RNA13764_R0	gene_11766
Nvit_RNA17127_R0	gene_11766
Mpha_RNA17862_R0	gene_11767
Dmel_RNA4010_R0	gene_11767
Mpha_RNA17865_R0	gene_11768
Lhum_RNA10099_R0	gene_11768
Sinv_RNA11602_R0	gene_11769
Aech_RNA55_R0	gene_11769
Mpha_RNA17873_R0	gene_11770
Sinv_RNA11601_R0	gene_11770
Mpha_RNA17874_R0	gene_11770
Mpha_RNA17876_R0	gene_11771
Mpha_RNA17866_R0	gene_11772
Mpha_RNA17878_R0	gene_11773
Mpha_RNA17883_R0	gene_11774
Mpha_RNA17884_R0	gene_11774
Lhum_RNA10109_R0	gene_11774
Dqua_RNA8383_R0	gene_11774
Cbir_RNA19146_R0	gene_11774
Mpha_RNA17887_R0	gene_11775
Mpha_RNA17854_R0	gene_11776
Mpha_RNA17855_R0	gene_11777
Aech_RNA8990_R0	gene_11777
Mpha_RNA17864_R0	gene_11778
Mpha_RNA17867_R0	gene_11779
Mpha_RNA17875_R0	gene_11780
Sinv_RNA11600_R0	gene_11780
Amel_RNA12181_R0	gene_11780
Amel_RNA12182_R0	gene_11780
Mpha_RNA17877_R0	gene_11781
Mpha_RNA17879_R0	gene_11782
Mpha_RNA17882_R0	gene_11783
Mpha_RNA17892_R0	gene_11784
Mpha_RNA17890_R0	gene_11785
Mpha_RNA17891_R0	gene_11786
Mpha_RNA17893_R0	gene_11787
Lhum_RNA3595_R0	gene_11788
Nvit_RNA8230_R0	gene_11788
Nvit_RNA8231_R0	gene_11788
Lhum_RNA18107_R0	gene_11789
Mpha_RNA17897_R0	gene_11790
Aech_RNA9317_R0	gene_11790
Dqua_RNA14553_R0	gene_11790
Lhum_RNA18102_R0	gene_11790
Sinv_RNA16262_R0	gene_11790
Nvit_RNA9524_R0	gene_11790
Mpha_RNA17906_R0	gene_11791
Mpha_RNA17909_R0	gene_11792
Mpha_RNA17911_R0	gene_11793
Aech_RNA3569_R0	gene_11793
Nvit_RNA24200_R0	gene_11793
Mpha_RNA17913_R0	gene_11794
Mpha_RNA17918_R0	gene_11795
Sinv_RNA6615_R0	gene_11795
Lhum_RNA6549_R0	gene_11795
Mpha_RNA17914_R0	gene_11796
Aech_RNA640_R0	gene_11796
Aech_RNA3582_R0	gene_11797
Mpha_RNA17907_R0	gene_11798
Lhum_RNA5095_R0	gene_11798
Mpha_RNA17910_R0	gene_11799
Aech_RNA3572_R0	gene_11799
Mpha_RNA17912_R0	gene_11800
Mpha_RNA17920_R0	gene_11801
Aech_RNA3357_R0	gene_11801
Dqua_RNA19649_R0	gene_11801
Amel_RNA26748_R0	gene_11801
Dqua_RNA19651_R0	gene_11801
Aech_RNA3355_R0	gene_11801
Mpha_RNA17919_R0	gene_11802
Dqua_RNA19652_R0	gene_11802
Mpha_RNA17928_R0	gene_11803
Mpha_RNA17927_R0	gene_11804
Mpha_RNA17935_R0	gene_11805
Mpha_RNA17938_R0	gene_11806
Sinv_RNA4446_R0	gene_11807
Mpha_RNA17943_R0	gene_11808
Sinv_RNA11008_R4	gene_11809
Mpha_RNA17948_R0	gene_11810
Sinv_RNA16814_R0	gene_11811
Cbir_RNA6475_R6	gene_11812
Sinv_RNA14009_R0	gene_11813
Cbir_RNA10796_R4	gene_11814
Mpha_RNA17950_R0	gene_11815
Sinv_RNA15721_R0	gene_11815
Sinv_RNA15158_R0	gene_11815
Nvit_RNA19715_R0	gene_11815
Aech_RNA627_R4	gene_11816
Aech_RNA10717_R0	gene_11817
Aech_RNA10719_R0	gene_11817
Lhum_RNA21282_R0	gene_11817
Mpha_RNA17957_R0	gene_11818
Mpha_RNA17962_R0	gene_11819
Mpha_RNA17963_R0	gene_11820
Lhum_RNA6962_R3	gene_11821
Mpha_RNA17966_R0	gene_11822
Dqua_RNA6425_R1	gene_11823
Nvit_RNA15281_R1	gene_11824
Mpha_RNA17967_R0	gene_11825
Sinv_RNA16980_R0	gene_11825
Mpha_RNA17970_R0	gene_11826
Mpha_RNA17973_R0	gene_11827
Mpha_RNA17971_R0	gene_11828
Dmel_RNA28759_R0	gene_11828
Mpha_RNA17974_R0	gene_11829
Dmel_RNA16661_R2	gene_11830
Mpha_RNA17977_R0	gene_11831
Mpha_RNA17978_R0	gene_11831
Lhum_RNA20561_R0	gene_11832
Mpha_RNA14989_R3	gene_11833
Cbir_RNA14074_R2	gene_11834
Sinv_RNA21203_R5	gene_11835
Mpha_RNA1970_R5	gene_11836
Mpha_RNA17979_R0	gene_11837
Mpha_RNA17981_R0	gene_11838
Mpha_RNA17980_R0	gene_11839
Mpha_RNA17982_R0	gene_11840
Mpha_RNA17983_R0	gene_11841
Mpha_RNA17986_R0	gene_11842
Aech_RNA11321_R0	gene_11843
Mpha_RNA17987_R0	gene_11844
Dmel_RNA8586_R0	gene_11844
Sinv_RNA3091_R0	gene_11845
Mpha_RNA17990_R0	gene_11846
Mpha_RNA17992_R0	gene_11847
Mpha_RNA17993_R0	gene_11848
Mpha_RNA17999_R0	gene_11849
Sinv_RNA3100_R0	gene_11849
Dqua_RNA19547_R0	gene_11849
