Dqua_RNA0_R0	gene_0
Dqua_RNA19631_R0	gene_11169
Dqua_RNA19632_R0	gene_11169
Dqua_RNA19627_R0	gene_11169
Lhum_RNA13928_R1	gene_11169
Cbir_RNA13205_R1	gene_11169
Nvit_RNA3089_R2	gene_11169
Dqua_RNA19626_R0	gene_11170
Dqua_RNA19636_R0	gene_11171
Dqua_RNA19638_R0	gene_11172
Dqua_RNA19639_R0	gene_11172
Dqua_RNA19646_R0	gene_11173
Lhum_RNA6651_R0	gene_11173
Dqua_RNA19653_R0	gene_11174
Dqua_RNA19641_R0	gene_11175
Dqua_RNA19647_R0	gene_11176
Dqua_RNA19648_R0	gene_11176
Dmel_RNA7830_R0	gene_11176
Dqua_RNA19655_R0	gene_11177
Aech_RNA640_R0	gene_11177
Dqua_RNA19656_R0	gene_11178
Dqua_RNA19660_R0	gene_11179
Dqua_RNA19667_R0	gene_11180
Sinv_RNA16869_R0	gene_11180
Aech_RNA12403_R0	gene_11180
Dqua_RNA19672_R0	gene_11181
Dqua_RNA19673_R0	gene_11181
Dqua_RNA19686_R0	gene_11182
Lhum_RNA4924_R0	gene_11182
Dqua_RNA19692_R0	gene_11183
Dqua_RNA19688_R0	gene_11183
Dqua_RNA19693_R0	gene_11183
Dqua_RNA19691_R0	gene_11183
Amel_RNA22465_R3	gene_11184
Dqua_RNA19703_R0	gene_11185
Cbir_RNA1941_R1	gene_11185
Dqua_RNA19702_R0	gene_11186
Aech_RNA7739_R0	gene_11187
Dqua_RNA5071_R1	gene_11188
Aech_RNA10053_R4	gene_11189
Dqua_RNA22147_R2	gene_11190
Dqua_RNA19705_R0	gene_11191
Dqua_RNA19710_R0	gene_11192
Dqua_RNA19714_R0	gene_11193
Lhum_RNA12785_R7	gene_11194
Dqua_RNA22014_R9	gene_11195
Dqua_RNA19709_R0	gene_11196
Dqua_RNA19711_R0	gene_11197
Nvit_RNA10150_R0	gene_11197
Mpha_RNA17879_R0	gene_11198
Dqua_RNA19712_R0	gene_11199
Dqua_RNA19715_R0	gene_11200
Sinv_RNA22003_R3	gene_11201
Cbir_RNA15703_R8	gene_11202
Amel_RNA3879_R0	gene_11203
Dqua_RNA17726_R5	gene_11204
Dqua_RNA189_R1	gene_11205
Sinv_RNA20033_R8	gene_11206
Dqua_RNA17396_R2	gene_11207
Dqua_RNA17495_R1	gene_11208
Dqua_RNA19735_R0	gene_11209
Mpha_RNA8527_R0	gene_11210
Mpha_RNA8526_R0	gene_11211
Aech_RNA19395_R2	gene_11211
Sinv_RNA373_R1	gene_11211
Mpha_RNA4993_R7	gene_11212
Lhum_RNA9256_R5	gene_11213
Dqua_RNA19725_R0	gene_11214
Dqua_RNA19724_R0	gene_11215
Mpha_RNA8523_R8	gene_11216
Dqua_RNA19149_R7	gene_11217
Dqua_RNA19151_R9	gene_11217
Lhum_RNA9257_R2	gene_11217
Dqua_RNA19154_R4	gene_11218
Dqua_RNA19730_R1	gene_11219
Dqua_RNA19151_R2	gene_11220
Lhum_RNA9257_R1	gene_11220
Mpha_RNA8521_R4	gene_11221
Cbir_RNA8411_R8	gene_11222
Dqua_RNA19737_R0	gene_11223
Aech_RNA7984_R0	gene_11224
Dqua_RNA19739_R0	gene_11225
Mpha_RNA11369_R0	gene_11225
Dqua_RNA19743_R0	gene_11226
Dqua_RNA19748_R0	gene_11227
Dqua_RNA19751_R0	gene_11228
Dqua_RNA19752_R0	gene_11228
Nvit_RNA6623_R2	gene_11228
Sinv_RNA4426_R2	gene_11228
Dqua_RNA19755_R0	gene_11229
Aech_RNA8539_R0	gene_11229
Lhum_RNA21989_R0	gene_11229
Dqua_RNA19759_R0	gene_11230
Dqua_RNA19767_R0	gene_11231
Dqua_RNA19772_R0	gene_11232
Dqua_RNA19771_R0	gene_11232
Dqua_RNA19776_R0	gene_11233
Dqua_RNA19736_R0	gene_11234
Dmel_RNA32532_R1	gene_11234
Dqua_RNA19742_R0	gene_11235
Dqua_RNA19750_R0	gene_11236
Dmel_RNA4173_R0	gene_11236
Sinv_RNA18885_R0	gene_11236
Sinv_RNA10784_R0	gene_11236
Dqua_RNA19753_R0	gene_11237
Cbir_RNA21497_R0	gene_11237
Dqua_RNA19756_R0	gene_11238
Sinv_RNA8371_R0	gene_11238
Dqua_RNA19769_R0	gene_11239
Amel_RNA23987_R0	gene_11239
Dqua_RNA19775_R0	gene_11240
Nvit_RNA4893_R0	gene_11240
Nvit_RNA16010_R3	gene_11241
Sinv_RNA19845_R0	gene_11242
Dqua_RNA22960_R7	gene_11243
Dqua_RNA8262_R2	gene_11244
Mpha_RNA6516_R0	gene_11245
Dqua_RNA19779_R0	gene_11246
Dqua_RNA19782_R0	gene_11247
Dqua_RNA19783_R0	gene_11248
Dqua_RNA19818_R0	gene_11249
Dqua_RNA19813_R0	gene_11250
Dqua_RNA19833_R0	gene_11251
Sinv_RNA5576_R0	gene_11251
Dqua_RNA19836_R0	gene_11252
Dqua_RNA19842_R0	gene_11253
Dqua_RNA19841_R0	gene_11253
Dqua_RNA19850_R0	gene_11254
Dqua_RNA19853_R0	gene_11255
Dqua_RNA19859_R0	gene_11256
Dqua_RNA19860_R0	gene_11256
Dqua_RNA19858_R0	gene_11257
Dqua_RNA19855_R0	gene_11257
Dmel_RNA22874_R0	gene_11257
Dqua_RNA19863_R0	gene_11258
Dqua_RNA19865_R0	gene_11259
Cbir_RNA25486_R0	gene_11259
Dqua_RNA19867_R0	gene_11260
Dqua_RNA19866_R0	gene_11260
Sinv_RNA1951_R0	gene_11260
Dqua_RNA19868_R0	gene_11261
Dqua_RNA19871_R0	gene_11262
Dqua_RNA19872_R0	gene_11262
Dqua_RNA19873_R0	gene_11262
Dqua_RNA19876_R0	gene_11263
Dqua_RNA19878_R0	gene_11264
Dqua_RNA19882_R0	gene_11265
Dqua_RNA19883_R0	gene_11266
Dqua_RNA19884_R0	gene_11266
Dmel_RNA23217_R1	gene_11266
Dqua_RNA19891_R0	gene_11267
Dqua_RNA19892_R0	gene_11268
Dqua_RNA19900_R0	gene_11269
Dqua_RNA19906_R0	gene_11270
Nvit_RNA20124_R1	gene_11270
Lhum_RNA17245_R0	gene_11271
Dqua_RNA19926_R0	gene_11272
Aech_RNA1241_R0	gene_11272
Dqua_RNA19932_R0	gene_11273
Dqua_RNA19934_R0	gene_11274
Sinv_RNA16416_R0	gene_11274
Cbir_RNA7492_R0	gene_11275
Amel_RNA26900_R0	gene_11275
Dqua_RNA19948_R0	gene_11276
Dqua_RNA19945_R0	gene_11276
Lhum_RNA18973_R0	gene_11276
Dmel_RNA11421_R2	gene_11277
Nvit_RNA5913_R0	gene_11278
Dqua_RNA19958_R0	gene_11279
Dqua_RNA19962_R0	gene_11280
Dqua_RNA19963_R0	gene_11280
Nvit_RNA13422_R0	gene_11280
Dqua_RNA19968_R0	gene_11281
Dqua_RNA19971_R0	gene_11282
Aech_RNA12041_R0	gene_11282
Cbir_RNA4861_R0	gene_11282
Dmel_RNA31104_R0	gene_11282
Dqua_RNA19977_R0	gene_11283
Sinv_RNA13556_R0	gene_11284
Dqua_RNA19978_R0	gene_11285
Lhum_RNA18903_R0	gene_11285
Dqua_RNA19979_R0	gene_11286
Dqua_RNA19983_R0	gene_11287
Dqua_RNA19984_R0	gene_11288
Sinv_RNA6710_R0	gene_11288
Dqua_RNA19991_R0	gene_11289
Cbir_RNA20555_R0	gene_11289
Aech_RNA13562_R0	gene_11289
Dqua_RNA19988_R0	gene_11290
Dqua_RNA19987_R0	gene_11290
Amel_RNA23922_R0	gene_11290
Aech_RNA2982_R0	gene_11290
Aech_RNA20613_R0	gene_11291
Dqua_RNA19994_R0	gene_11292
Lhum_RNA19495_R0	gene_11292
Dqua_RNA20005_R0	gene_11293
Lhum_RNA7670_R0	gene_11293
Dqua_RNA19778_R0	gene_11294
Dqua_RNA19784_R0	gene_11295
Dqua_RNA19785_R0	gene_11295
Dqua_RNA19788_R0	gene_11296
Dqua_RNA19796_R0	gene_11297
Dqua_RNA19802_R0	gene_11297
Dqua_RNA19792_R0	gene_11297
Aech_RNA483_R0	gene_11297
Aech_RNA479_R0	gene_11297
Dqua_RNA19798_R0	gene_11297
Sinv_RNA5553_R0	gene_11297
Lhum_RNA20071_R0	gene_11297
Dqua_RNA19797_R0	gene_11297
Dqua_RNA19807_R0	gene_11298
Dqua_RNA19822_R0	gene_11299
Nvit_RNA7276_R0	gene_11300
Dqua_RNA19832_R0	gene_11301
Lhum_RNA20099_R0	gene_11302
Dqua_RNA19837_R0	gene_11303
Nvit_RNA8947_R0	gene_11303
Dqua_RNA19839_R0	gene_11304
Dqua_RNA19845_R0	gene_11305
Dqua_RNA19848_R0	gene_11305
Dqua_RNA19844_R0	gene_11305
Nvit_RNA21009_R0	gene_11305
Dqua_RNA19849_R0	gene_11306
Dqua_RNA19851_R0	gene_11307
Dqua_RNA19852_R0	gene_11307
Dqua_RNA19854_R0	gene_11308
Dqua_RNA19861_R0	gene_11309
Dqua_RNA19864_R0	gene_11310
Dqua_RNA19874_R0	gene_11311
Dqua_RNA19870_R0	gene_11312
Dqua_RNA19875_R0	gene_11313
Dqua_RNA19879_R0	gene_11314
Dqua_RNA19880_R0	gene_11314
Cbir_RNA3865_R0	gene_11314
Dmel_RNA21681_R0	gene_11314
Dqua_RNA19881_R0	gene_11315
Dqua_RNA19885_R0	gene_11316
Cbir_RNA13846_R0	gene_11316
Cbir_RNA3177_R0	gene_11316
Dqua_RNA19903_R0	gene_11317
Dqua_RNA19905_R0	gene_11318
Dmel_RNA20808_R0	gene_11318
Dqua_RNA19911_R0	gene_11319
Dqua_RNA19919_R0	gene_11320
Dmel_RNA2232_R0	gene_11320
Dqua_RNA19924_R0	gene_11321
Nvit_RNA9535_R0	gene_11321
Dqua_RNA19928_R0	gene_11322
Sinv_RNA16415_R0	gene_11323
Sinv_RNA16414_R0	gene_11324
Dqua_RNA19936_R0	gene_11325
Dqua_RNA19938_R0	gene_11326
Dqua_RNA19937_R0	gene_11326
Dqua_RNA19939_R0	gene_11326
Mpha_RNA11030_R0	gene_11326
Dqua_RNA19942_R0	gene_11327
Dqua_RNA19943_R0	gene_11328
Aech_RNA4796_R0	gene_11328
Dqua_RNA19944_R0	gene_11329
Dqua_RNA19883_R1	gene_11329
Cbir_RNA14415_R0	gene_11330
Cbir_RNA14061_R0	gene_11331
Dmel_RNA27345_R0	gene_11331
Dqua_RNA19956_R0	gene_11332
Cbir_RNA14418_R0	gene_11332
Amel_RNA8994_R1	gene_11333
Dqua_RNA19961_R0	gene_11334
Mpha_RNA8227_R0	gene_11334
Aech_RNA2649_R0	gene_11334
Aech_RNA3992_R0	gene_11335
Dqua_RNA19970_R0	gene_11336
Dqua_RNA19976_R0	gene_11337
Dqua_RNA19980_R0	gene_11338
Aech_RNA15331_R5	gene_11338
Dqua_RNA19985_R0	gene_11339
Aech_RNA3348_R0	gene_11339
Dqua_RNA20003_R0	gene_11340
Dmel_RNA29562_R0	gene_11340
Dqua_RNA20004_R0	gene_11341
Aech_RNA15911_R0	gene_11341
Lhum_RNA7663_R0	gene_11341
Dqua_RNA20006_R0	gene_11342
Sinv_RNA229_R0	gene_11343
Sinv_RNA21266_R0	gene_11344
Dqua_RNA23489_R9	gene_11345
Dqua_RNA22981_R8	gene_11346
Lhum_RNA2224_R7	gene_11347
Dqua_RNA21246_R1	gene_11348
Sinv_RNA10836_R9	gene_11349
Dqua_RNA20015_R0	gene_11350
Lhum_RNA19048_R8	gene_11351
Dqua_RNA21289_R2	gene_11352
Dqua_RNA7273_R2	gene_11353
Dqua_RNA20020_R0	gene_11354
Dqua_RNA20023_R0	gene_11354
Nvit_RNA25536_R0	gene_11355
Dqua_RNA20019_R0	gene_11356
Lhum_RNA4877_R6	gene_11357
Mpha_RNA22316_R5	gene_11358
Dqua_RNA20024_R0	gene_11359
Cbir_RNA1048_R0	gene_11360
Lhum_RNA23912_R0	gene_11361
Dqua_RNA20026_R0	gene_11362
Dqua_RNA20030_R0	gene_11363
Dqua_RNA20037_R0	gene_11364
Dqua_RNA20043_R0	gene_11365
Nvit_RNA6505_R0	gene_11366
Amel_RNA6720_R0	gene_11367
Dqua_RNA20057_R0	gene_11368
Dqua_RNA20059_R0	gene_11369
Cbir_RNA19838_R0	gene_11370
Dqua_RNA20061_R0	gene_11371
Dqua_RNA20078_R0	gene_11372
Dqua_RNA20079_R0	gene_11373
Mpha_RNA17207_R0	gene_11374
Sinv_RNA18729_R0	gene_11375
Dqua_RNA20086_R0	gene_11376
Dqua_RNA20085_R0	gene_11377
Dqua_RNA20094_R0	gene_11378
Dqua_RNA20088_R0	gene_11379
Aech_RNA14920_R0	gene_11379
Dmel_RNA28131_R2	gene_11380
Aech_RNA21563_R0	gene_11381
Dqua_RNA20103_R0	gene_11382
Dqua_RNA20027_R0	gene_11383
Dqua_RNA20036_R0	gene_11384
Dqua_RNA20035_R0	gene_11384
Dqua_RNA20033_R0	gene_11384
Dqua_RNA20034_R0	gene_11384
Dqua_RNA20032_R0	gene_11384
Aech_RNA14936_R0	gene_11384
Dqua_RNA20039_R0	gene_11385
Amel_RNA15762_R4	gene_11385
Dqua_RNA20047_R0	gene_11386
Dqua_RNA20049_R0	gene_11387
Lhum_RNA6499_R0	gene_11388
Lhum_RNA7454_R0	gene_11389
Dqua_RNA23518_R1	gene_11390
Dqua_RNA20060_R0	gene_11391
Dqua_RNA20075_R0	gene_11392
Dqua_RNA20084_R0	gene_11393
Dmel_RNA11246_R8	gene_11394
Dqua_RNA20092_R0	gene_11395
Dqua_RNA20093_R0	gene_11395
Dqua_RNA20095_R0	gene_11396
Dqua_RNA20096_R0	gene_11397
Lhum_RNA21646_R0	gene_11397
Amel_RNA16425_R0	gene_11397
Dqua_RNA20101_R0	gene_11398
Dqua_RNA20106_R0	gene_11399
Dqua_RNA20107_R0	gene_11400
Dqua_RNA20108_R0	gene_11401
Dqua_RNA20111_R0	gene_11402
Cbir_RNA13388_R0	gene_11402
Dqua_RNA20109_R0	gene_11403
Dqua_RNA20112_R0	gene_11404
Dqua_RNA20116_R0	gene_11405
Dqua_RNA20118_R0	gene_11406
Lhum_RNA9134_R0	gene_11406
Mpha_RNA13453_R0	gene_11406
Lhum_RNA9133_R0	gene_11406
Dqua_RNA12221_R1	gene_11407
Dqua_RNA20129_R0	gene_11408
Aech_RNA12873_R0	gene_11409
Mpha_RNA16267_R0	gene_11410
Dqua_RNA20127_R0	gene_11411
Lhum_RNA19451_R0	gene_11412
Dqua_RNA20126_R0	gene_11413
Dqua_RNA20125_R0	gene_11414
Dqua_RNA20124_R0	gene_11415
Mpha_RNA14900_R0	gene_11416
Aech_RNA12879_R1	gene_11417
Dqua_RNA23380_R7	gene_11418
Dqua_RNA20121_R0	gene_11419
Dqua_RNA20134_R0	gene_11420
Sinv_RNA6972_R2	gene_11421
Cbir_RNA16786_R9	gene_11422
Mpha_RNA14909_R3	gene_11423
Dqua_RNA3440_R6	gene_11424
Dmel_RNA14403_R1	gene_11425
Sinv_RNA12991_R8	gene_11426
Dqua_RNA23246_R8	gene_11427
Nvit_RNA25624_R6	gene_11428
Dqua_RNA22382_R2	gene_11429
Dqua_RNA20135_R0	gene_11430
Dqua_RNA21686_R1	gene_11431
Sinv_RNA17885_R1	gene_11432
Dqua_RNA20136_R0	gene_11433
Dqua_RNA20137_R0	gene_11433
Dqua_RNA20139_R0	gene_11433
Dqua_RNA20144_R0	gene_11434
Dqua_RNA20147_R0	gene_11434
Dqua_RNA20149_R0	gene_11435
Dqua_RNA20150_R0	gene_11435
Dqua_RNA20152_R0	gene_11436
Dqua_RNA20154_R0	gene_11437
Aech_RNA15540_R0	gene_11437
Dqua_RNA20156_R0	gene_11438
Cbir_RNA12345_R1	gene_11439
Cbir_RNA12345_R4	gene_11440
Lhum_RNA3476_R0	gene_11441
Dqua_RNA20143_R0	gene_11441
Dqua_RNA20141_R0	gene_11441
Lhum_RNA21564_R0	gene_11442
Dqua_RNA20151_R0	gene_11443
Aech_RNA15539_R2	gene_11444
Aech_RNA12809_R9	gene_11445
Cbir_RNA6274_R4	gene_11446
Cbir_RNA17052_R3	gene_11447
Dqua_RNA20161_R0	gene_11448
Dmel_RNA11756_R0	gene_11448
Dqua_RNA20163_R0	gene_11449
Dqua_RNA20164_R0	gene_11449
Lhum_RNA19531_R0	gene_11449
Amel_RNA21866_R0	gene_11449
Dmel_RNA24425_R0	gene_11449
Dqua_RNA3663_R1	gene_11450
Cbir_RNA10796_R6	gene_11451
Dqua_RNA20168_R0	gene_11452
Cbir_RNA1942_R0	gene_11452
Cbir_RNA1941_R0	gene_11452
Dmel_RNA13505_R1	gene_11452
Dqua_RNA20170_R0	gene_11453
Mpha_RNA5357_R4	gene_11454
Dqua_RNA23318_R1	gene_11455
Lhum_RNA21579_R1	gene_11455
Cbir_RNA13_R3	gene_11455
Sinv_RNA18882_R0	gene_11455
Dmel_RNA29392_R0	gene_11456
Dqua_RNA20173_R0	gene_11457
Dqua_RNA20178_R0	gene_11457
Dqua_RNA20184_R0	gene_11458
Dqua_RNA20189_R0	gene_11459
Dqua_RNA20190_R0	gene_11459
Dqua_RNA20180_R0	gene_11460
Dqua_RNA20182_R0	gene_11461
Dqua_RNA20183_R0	gene_11461
Lhum_RNA6438_R0	gene_11461
Cbir_RNA21499_R0	gene_11461
Amel_RNA3515_R0	gene_11461
Sinv_RNA2564_R0	gene_11461
Mpha_RNA4273_R0	gene_11461
Mpha_RNA13541_R0	gene_11461
Dqua_RNA20185_R0	gene_11462
Dqua_RNA20186_R0	gene_11462
Sinv_RNA21951_R7	gene_11463
Dqua_RNA21829_R9	gene_11464
Sinv_RNA2196_R7	gene_11465
Amel_RNA28427_R2	gene_11466
Sinv_RNA3052_R8	gene_11467
Dqua_RNA7921_R5	gene_11468
Nvit_RNA24509_R3	gene_11469
Dqua_RNA14726_R5	gene_11470
Dqua_RNA8097_R9	gene_11471
Dqua_RNA20194_R0	gene_11472
Dqua_RNA20193_R0	gene_11472
Dqua_RNA23270_R2	gene_11473
Dmel_RNA8816_R0	gene_11474
Mpha_RNA16110_R0	gene_11475
Mpha_RNA11812_R0	gene_11476
Sinv_RNA4492_R0	gene_11477
Dqua_RNA20197_R0	gene_11478
Dqua_RNA20198_R0	gene_11479
Dqua_RNA20199_R0	gene_11480
Dqua_RNA20202_R0	gene_11481
Dqua_RNA20205_R0	gene_11482
Dqua_RNA20210_R0	gene_11483
Dqua_RNA20211_R0	gene_11484
Nvit_RNA22781_R1	gene_11484
Dqua_RNA20216_R0	gene_11485
Dqua_RNA20195_R0	gene_11486
Amel_RNA13401_R0	gene_11486
Lhum_RNA5658_R0	gene_11486
Cbir_RNA19728_R4	gene_11487
Aech_RNA13471_R4	gene_11487
Cbir_RNA22308_R3	gene_11487
Dmel_RNA30797_R3	gene_11488
Dqua_RNA20200_R0	gene_11489
Dqua_RNA20201_R0	gene_11489
Amel_RNA13245_R0	gene_11489
Sinv_RNA9356_R0	gene_11489
Dqua_RNA20204_R0	gene_11490
Mpha_RNA23647_R0	gene_11490
Dqua_RNA20209_R0	gene_11491
Amel_RNA1711_R0	gene_11491
Nvit_RNA13285_R0	gene_11491
Amel_RNA1708_R0	gene_11491
Dqua_RNA4111_R1	gene_11492
Dqua_RNA20221_R0	gene_11493
Aech_RNA7757_R5	gene_11494
Sinv_RNA22002_R2	gene_11495
Dqua_RNA20225_R0	gene_11496
Dqua_RNA23456_R4	gene_11497
Aech_RNA3680_R9	gene_11498
Cbir_RNA22709_R5	gene_11499
Cbir_RNA21571_R0	gene_11500
Cbir_RNA18140_R0	gene_11501
Mpha_RNA11061_R1	gene_11502
Cbir_RNA18437_R6	gene_11503
Dqua_RNA17278_R7	gene_11504
Dqua_RNA20228_R0	gene_11505
Aech_RNA12404_R6	gene_11506
Dqua_RNA20234_R0	gene_11507
Lhum_RNA14149_R0	gene_11507
Sinv_RNA4929_R0	gene_11507
Dqua_RNA20230_R0	gene_11508
Dqua_RNA20229_R0	gene_11508
Dqua_RNA20245_R0	gene_11509
Cbir_RNA18499_R0	gene_11509
Dqua_RNA20247_R0	gene_11510
Dqua_RNA20246_R0	gene_11510
Dqua_RNA20248_R0	gene_11510
Mpha_RNA6078_R0	gene_11510
Dmel_RNA27893_R1	gene_11511
Dqua_RNA20254_R0	gene_11512
Dqua_RNA20260_R0	gene_11513
Mpha_RNA18714_R0	gene_11513
Sinv_RNA21594_R5	gene_11514
Dqua_RNA20261_R0	gene_11515
Dmel_RNA1828_R9	gene_11516
Mpha_RNA466_R8	gene_11517
Dqua_RNA20264_R0	gene_11518
Mpha_RNA19287_R0	gene_11518
Dqua_RNA20269_R0	gene_11518
Cbir_RNA19927_R0	gene_11518
Cbir_RNA9428_R0	gene_11519
Dqua_RNA20281_R0	gene_11520
Mpha_RNA16650_R0	gene_11520
Dqua_RNA9696_R7	gene_11521
Dqua_RNA20251_R0	gene_11522
Dqua_RNA20252_R0	gene_11523
Cbir_RNA1358_R0	gene_11523
Dqua_RNA20255_R0	gene_11524
Dqua_RNA20256_R0	gene_11525
Dqua_RNA2163_R5	gene_11526
Cbir_RNA11782_R0	gene_11527
Dqua_RNA20263_R0	gene_11528
Dqua_RNA20270_R0	gene_11529
Dqua_RNA20278_R0	gene_11529
Dqua_RNA20280_R0	gene_11530
Dqua_RNA20282_R0	gene_11531
Dqua_RNA22960_R1	gene_11532
Lhum_RNA21141_R7	gene_11533
Dqua_RNA22459_R1	gene_11534
Aech_RNA7757_R2	gene_11535
Lhum_RNA21136_R1	gene_11536
Dqua_RNA8631_R8	gene_11537
Dqua_RNA22453_R1	gene_11538
Dqua_RNA20289_R0	gene_11539
Dqua_RNA20287_R0	gene_11539
Dqua_RNA20288_R0	gene_11539
Cbir_RNA12136_R0	gene_11539
Dqua_RNA20294_R0	gene_11540
Dqua_RNA20302_R0	gene_11541
Dqua_RNA20304_R0	gene_11542
Dqua_RNA20305_R0	gene_11543
Dqua_RNA20312_R0	gene_11544
Sinv_RNA14679_R0	gene_11544
Dqua_RNA20315_R0	gene_11545
Dqua_RNA20321_R0	gene_11546
Dqua_RNA20326_R0	gene_11547
Dqua_RNA20334_R0	gene_11548
Dqua_RNA20335_R0	gene_11549
Dqua_RNA20347_R0	gene_11550
Dqua_RNA20354_R0	gene_11551
Dqua_RNA20359_R0	gene_11552
Dqua_RNA20292_R0	gene_11553
Dqua_RNA20293_R0	gene_11553
Lhum_RNA20555_R0	gene_11553
Dqua_RNA20297_R0	gene_11554
Dqua_RNA20299_R0	gene_11555
Dqua_RNA20303_R0	gene_11556
Dqua_RNA20308_R0	gene_11557
Dqua_RNA20310_R0	gene_11557
Dqua_RNA20309_R0	gene_11557
Dqua_RNA20311_R0	gene_11557
Dqua_RNA20313_R0	gene_11558
Dqua_RNA20317_R0	gene_11559
Dqua_RNA20338_R0	gene_11560
Dqua_RNA20336_R0	gene_11560
Dqua_RNA20339_R0	gene_11560
Cbir_RNA10494_R0	gene_11560
Cbir_RNA10493_R0	gene_11560
Amel_RNA15153_R0	gene_11560
Dqua_RNA20337_R0	gene_11560
Dqua_RNA20345_R0	gene_11560
Cbir_RNA10495_R0	gene_11560
Amel_RNA15155_R0	gene_11560
Dqua_RNA20344_R0	gene_11560
Dqua_RNA20348_R0	gene_11561
Sinv_RNA17475_R0	gene_11561
Dqua_RNA20349_R0	gene_11562
Dqua_RNA20350_R0	gene_11563
Nvit_RNA25226_R0	gene_11563
Dqua_RNA20351_R0	gene_11564
Aech_RNA10129_R0	gene_11564
Lhum_RNA20525_R0	gene_11564
Aech_RNA10128_R0	gene_11564
Sinv_RNA3796_R0	gene_11564
Dqua_RNA20353_R0	gene_11565
Dqua_RNA20352_R0	gene_11565
Dqua_RNA20355_R0	gene_11566
Dqua_RNA20364_R0	gene_11567
Dqua_RNA20363_R0	gene_11567
Aech_RNA5056_R0	gene_11567
Dqua_RNA20366_R0	gene_11568
Dqua_RNA23566_R3	gene_11568
Dmel_RNA11009_R3	gene_11569
Mpha_RNA23070_R2	gene_11570
Lhum_RNA12815_R7	gene_11571
Dqua_RNA20368_R0	gene_11572
Dqua_RNA20369_R0	gene_11573
Cbir_RNA17330_R4	gene_11574
Aech_RNA12457_R7	gene_11575
Dqua_RNA11966_R3	gene_11576
Lhum_RNA7087_R2	gene_11577
Cbir_RNA1161_R6	gene_11578
Sinv_RNA12332_R3	gene_11579
Cbir_RNA6921_R3	gene_11580
Sinv_RNA16450_R6	gene_11581
Lhum_RNA11629_R4	gene_11582
Lhum_RNA21147_R0	gene_11583
Aech_RNA4258_R9	gene_11584
Mpha_RNA2932_R9	gene_11585
Dqua_RNA16046_R7	gene_11586
Mpha_RNA3032_R2	gene_11587
Sinv_RNA22221_R0	gene_11588
Aech_RNA6389_R1	gene_11589
Dqua_RNA20373_R0	gene_11590
Dqua_RNA20374_R0	gene_11591
Dqua_RNA23243_R4	gene_11592
Dqua_RNA20376_R0	gene_11593
Mpha_RNA21932_R0	gene_11593
Sinv_RNA13448_R0	gene_11593
Aech_RNA6747_R0	gene_11593
Dqua_RNA20378_R0	gene_11594
Cbir_RNA8899_R0	gene_11594
Nvit_RNA1782_R7	gene_11594
Dqua_RNA20382_R0	gene_11595
Dqua_RNA20375_R0	gene_11596
Cbir_RNA8894_R0	gene_11596
Cbir_RNA8893_R0	gene_11596
Dqua_RNA20380_R0	gene_11597
Cbir_RNA8902_R0	gene_11597
Aech_RNA6741_R0	gene_11598
Cbir_RNA9906_R0	gene_11599
Dqua_RNA20383_R0	gene_11600
Sinv_RNA13452_R0	gene_11600
Cbir_RNA8914_R0	gene_11600
Cbir_RNA8904_R0	gene_11600
Cbir_RNA8913_R0	gene_11600
Cbir_RNA8911_R0	gene_11600
Dqua_RNA14712_R1	gene_11601
Dqua_RNA18980_R1	gene_11602
Dqua_RNA857_R7	gene_11603
Dqua_RNA20389_R0	gene_11604
Sinv_RNA4088_R0	gene_11605
Sinv_RNA2154_R3	gene_11606
Dqua_RNA14954_R5	gene_11607
Amel_RNA25077_R1	gene_11608
Dqua_RNA20392_R0	gene_11609
Dqua_RNA20391_R0	gene_11609
Dqua_RNA20390_R0	gene_11609
Cbir_RNA14149_R4	gene_11610
Lhum_RNA17471_R0	gene_11611
Sinv_RNA1348_R0	gene_11611
Dqua_RNA20396_R0	gene_11612
Lhum_RNA8258_R0	gene_11612
Dmel_RNA18046_R0	gene_11612
Cbir_RNA24273_R0	gene_11612
Dqua_RNA20399_R0	gene_11613
Sinv_RNA2140_R0	gene_11613
Dqua_RNA20403_R0	gene_11614
Cbir_RNA4723_R1	gene_11615
Dqua_RNA20411_R0	gene_11616
Dqua_RNA20423_R0	gene_11617
Dqua_RNA20422_R0	gene_11617
Dqua_RNA20398_R0	gene_11618
Amel_RNA18800_R0	gene_11619
Cbir_RNA12952_R0	gene_11619
Lhum_RNA8240_R0	gene_11620
Dqua_RNA20408_R0	gene_11621
Dqua_RNA20418_R0	gene_11622
Dqua_RNA20421_R0	gene_11622
Dqua_RNA20436_R0	gene_11623
Dmel_RNA21356_R0	gene_11624
Cbir_RNA955_R0	gene_11625
Dqua_RNA20461_R0	gene_11626
Dqua_RNA20472_R0	gene_11627
Dqua_RNA20478_R0	gene_11628
Dqua_RNA20482_R0	gene_11629
Dqua_RNA20484_R0	gene_11630
Sinv_RNA8497_R0	gene_11630
Dqua_RNA20511_R0	gene_11631
Sinv_RNA12601_R0	gene_11632
Dqua_RNA20431_R0	gene_11633
Dqua_RNA20439_R0	gene_11634
Dqua_RNA20440_R0	gene_11634
Lhum_RNA11465_R0	gene_11635
Dqua_RNA20446_R0	gene_11635
Dqua_RNA20445_R0	gene_11635
Dqua_RNA20449_R0	gene_11635
Dqua_RNA20450_R0	gene_11636
