SINV_RNA2436_R0	gene_4
LNIG_RNA14284_R1	gene_20167
LNIG_RNA6698_R5	gene_20168
LNIG_RNA8966_R8	gene_20169
SINV_RNA17276_R1	gene_20170
LNIG_RNA9172_R8	gene_20171
LNIG_RNA16263_R0	gene_20172
LNIG_RNA16264_R0	gene_20173
LNIG_RNA16265_R0	gene_20174
LHUM_RNA22372_R1	gene_20175
LNIG_RNA6438_R1	gene_20177
LNIG_RNA14597_R9	gene_20176
LNIG_RNA16268_R0	gene_20178
LHUM_RNA11204_R7	gene_20179
NVIT_RNA18289_R1	gene_20180
LNIG_RNA16271_R0	gene_20181
LNIG_RNA16272_R0	gene_20182
LNIG_RNA16273_R0	gene_20183
LNIG_RNA16275_R0	gene_20184
LNIG_RNA16276_R0	gene_20185
LNIG_RNA16277_R0	gene_20186
LNIG_RNA16278_R0	gene_20187
AECH_RNA2911_R4	gene_20188
LNIG_RNA16279_R0	gene_20189
LNIG_RNA16280_R0	gene_20190
LNIG_RNA8370_R7	gene_20191
LHUM_RNA19888_R9	gene_20192
LNIG_RNA10351_R7	gene_20193
AECH_RNA8407_R0	gene_20194
LNIG_RNA16282_R1	gene_20195
LNIG_RNA16283_R0	gene_20196
LNIG_RNA16284_R0	gene_20197
LNIG_RNA12999_R8	gene_20198
LNIG_RNA16285_R0	gene_20199
LHUM_RNA9601_R6	gene_20200
LNIG_RNA15417_R7	gene_20201
LNIG_RNA16666_R1	gene_20202
LNIG_RNA16287_R0	gene_20203
LNIG_RNA16288_R0	gene_20204
LNIG_RNA16289_R0	gene_20205
NVIT_RNA3664_R0	gene_20206
LNIG_RNA14570_R2	gene_20207
LNIG_RNA16292_R0	gene_20208
MPHA_RNA2675_R3	gene_20209
LNIG_RNA16294_R0	gene_20210
SINV_RNA21192_R0	gene_20211
DMEL_RNA21356_R1	gene_20212
LNIG_RNA10160_R1	gene_20213
LNIG_RNA6888_R2	gene_20214
MPHA_RNA91_R7	gene_20215
MPHA_RNA1473_R3	gene_20216
LNIG_RNA16296_R0	gene_20217
LNIG_RNA16297_R0	gene_20218
LNIG_RNA16298_R0	gene_20219
MPHA_RNA2637_R2	gene_20220
LNIG_RNA16299_R0	gene_20221
SINV_RNA11268_R5	gene_20222
LNIG_RNA14370_R4	gene_20223
LHUM_RNA161_R0	gene_20224
LNIG_RNA16300_R0	gene_20225
LNIG_RNA16301_R0	gene_20226
LNIG_RNA17631_R2	gene_20227
LNIG_RNA16302_R0	gene_20228
LNIG_RNA16303_R0	gene_20229
LNIG_RNA16304_R0	gene_20230
SINV_RNA16132_R1	gene_20231
LNIG_RNA16306_R0	gene_20232
CBIR_RNA9870_R9	gene_20233
DMEL_RNA33419_R9	gene_20234
LNIG_RNA15790_R1	gene_20236
LNIG_RNA5944_R2	gene_20235
LNIG_RNA16308_R0	gene_20237
LNIG_RNA16310_R0	gene_20239
LNIG_RNA16311_R0	gene_20238
SINV_RNA18308_R5	gene_20240
LNIG_RNA16313_R0	gene_20241
LNIG_RNA16314_R0	gene_20242
SINV_RNA5217_R6	gene_20243
LNIG_RNA16315_R0	gene_20244
LNIG_RNA16316_R0	gene_20245
LNIG_RNA3509_R3	gene_20247
LNIG_RNA16317_R0	gene_20246
CBIR_RNA25344_R2	gene_20248
LNIG_RNA16318_R0	gene_20249
LNIG_RNA15293_R1	gene_20250
LNIG_RNA9449_R5	gene_20251
LNIG_RNA10765_R2	gene_20252
LNIG_RNA16961_R4	gene_20253
LNIG_RNA16320_R0	gene_20254
LHUM_RNA17515_R2	gene_20255
LNIG_RNA16321_R0	gene_20256
LNIG_RNA16322_R0	gene_20257
NVIT_RNA26347_R8	gene_20258
LNIG_RNA16323_R0	gene_20259
CBIR_RNA20815_R1	gene_20260
SINV_RNA18620_R1	gene_20261
MPHA_RNA23623_R1	gene_20262
MPHA_RNA12401_R3	gene_20263
LNIG_RNA16327_R0	gene_20264
LNIG_RNA16328_R0	gene_20265
LNIG_RNA16329_R0	gene_20266
LNIG_RNA16331_R0	gene_20267
LNIG_RNA17745_R9	gene_20268
LNIG_RNA16335_R0	gene_20270
LNIG_RNA15921_R6	gene_20269
LNIG_RNA16336_R0	gene_20271
DMEL_RNA28131_R9	gene_20272
CBIR_RNA12100_R6	gene_20273
LNIG_RNA10391_R2	gene_20274
LNIG_RNA16341_R0	gene_20275
LNIG_RNA16342_R0	gene_20276
SINV_RNA18931_R2	gene_20277
LNIG_RNA8792_R9	gene_20278
LNIG_RNA16344_R0	gene_20279
LNIG_RNA16345_R0	gene_20280
LNIG_RNA16346_R0	gene_20281
LNIG_RNA16173_R9	gene_20282
SINV_RNA15573_R1	gene_20283
LNIG_RNA15167_R1	gene_20284
SINV_RNA15573_R0	gene_20285
LNIG_RNA16349_R0	gene_20286
LNIG_RNA16350_R0	gene_20287
LNIG_RNA16351_R0	gene_20288
SINV_RNA21909_R2	gene_20289
LNIG_RNA16352_R0	gene_20290
LHUM_RNA15294_R5	gene_20291
LNIG_RNA16353_R0	gene_20292
SINV_RNA18907_R0	gene_20293
LHUM_RNA8760_R9	gene_20294
LNIG_RNA16354_R0	gene_20295
LHUM_RNA1017_R8	gene_20296
LHUM_RNA2147_R9	gene_20297
LNIG_RNA14059_R7	gene_20298
LNIG_RNA16357_R0	gene_20299
LNIG_RNA16358_R0	gene_20300
LNIG_RNA16359_R0	gene_20301
MPHA_RNA4876_R2	gene_20302
LHUM_RNA8224_R2	gene_20303
CBIR_RNA18148_R7	gene_20304
LNIG_RNA16364_R0	gene_20305
LNIG_RNA12551_R2	gene_20306
SINV_RNA22146_R2	gene_20307
LNIG_RNA16367_R0	gene_20308
LNIG_RNA15233_R1	gene_20309
LNIG_RNA16371_R0	gene_20310
NVIT_RNA21992_R2	gene_20311
LNIG_RNA17378_R3	gene_20312
LNIG_RNA17405_R1	gene_20313
LHUM_RNA8568_R8	gene_20314
DQUA_RNA13328_R8	gene_20315
LNIG_RNA16373_R0	gene_20316
LNIG_RNA16374_R0	gene_20317
LNIG_RNA16377_R0	gene_20318
LNIG_RNA17706_R5	gene_20319
LNIG_RNA9372_R4	gene_20320
LNIG_RNA16379_R0	gene_20321
LNIG_RNA16380_R0	gene_20322
LHUM_RNA873_R2	gene_20323
LHUM_RNA12851_R1	gene_20324
LNIG_RNA16381_R0	gene_20325
LHUM_RNA21821_R0	gene_20326
DMEL_RNA11575_R2	gene_20327
LNIG_RNA16383_R0	gene_20328
CBIR_RNA6452_R0	gene_20329
DQUA_RNA18759_R4	gene_20330
LNIG_RNA16384_R0	gene_20331
AECH_RNA7696_R1	gene_20332
LNIG_RNA16747_R9	gene_20333
LNIG_RNA16387_R0	gene_20334
LNIG_RNA16390_R0	gene_20335
SINV_RNA19060_R7	gene_20336
MPHA_RNA21874_R0	gene_20337
LNIG_RNA15422_R4	gene_20338
LNIG_RNA16393_R0	gene_20339
LNIG_RNA16394_R0	gene_20340
SINV_RNA16686_R0	gene_20341
LNIG_RNA14935_R9	gene_20342
LNIG_RNA16395_R0	gene_20343
LNIG_RNA16396_R0	gene_20344
LNIG_RNA16397_R0	gene_20345
LNIG_RNA16398_R0	gene_20346
LNIG_RNA16399_R0	gene_20347
LNIG_RNA16400_R0	gene_20348
AECH_RNA4941_R4	gene_20349
LNIG_RNA16402_R0	gene_20350
NVIT_RNA5849_R1	gene_20351
LHUM_RNA22127_R4	gene_20352
LNIG_RNA16406_R0	gene_20353
LNIG_RNA16407_R0	gene_20354
LNIG_RNA16409_R0	gene_20355
LNIG_RNA16484_R6	gene_20356
MPHA_RNA23332_R2	gene_20357
LNIG_RNA16410_R0	gene_20358
CBIR_RNA1333_R5	gene_20359
LNIG_RNA12400_R8	gene_20360
LNIG_RNA16412_R0	gene_20361
LNIG_RNA16413_R0	gene_20362
LNIG_RNA16414_R0	gene_20363
LNIG_RNA16415_R0	gene_20364
LHUM_RNA13971_R0	gene_20365
LNIG_RNA16416_R0	gene_20366
CBIR_RNA25331_R2	gene_20367
LHUM_RNA538_R8	gene_20368
LNIG_RNA16417_R0	gene_20369
LNIG_RNA16418_R0	gene_20370
LNIG_RNA16419_R0	gene_20371
LNIG_RNA14383_R7	gene_20372
LNIG_RNA16420_R0	gene_20373
LNIG_RNA16421_R0	gene_20374
SINV_RNA9368_R0	gene_20375
LNIG_RNA16422_R0	gene_20376
LNIG_RNA16423_R0	gene_20377
LNIG_RNA11882_R8	gene_20378
AECH_RNA5416_R0	gene_20379
LNIG_RNA16424_R0	gene_20380
SINV_RNA16566_R5	gene_20381
LNIG_RNA16425_R0	gene_20382
LNIG_RNA16427_R0	gene_20383
LNIG_RNA16428_R0	gene_20384
LNIG_RNA16429_R0	gene_20385
LNIG_RNA10421_R9	gene_20386
LNIG_RNA15678_R3	gene_20387
LNIG_RNA16431_R1	gene_20388
LNIG_RNA16431_R0	gene_20389
LNIG_RNA16434_R0	gene_20390
CBIR_RNA14527_R2	gene_20391
NVIT_RNA11446_R7	gene_20393
LNIG_RNA15422_R5	gene_20392
AECH_RNA8409_R1	gene_20394
LNIG_RNA17125_R3	gene_20395
LNIG_RNA16439_R0	gene_20396
CBIR_RNA24557_R4	gene_20397
CBIR_RNA10423_R1	gene_20398
MPHA_RNA2053_R0	gene_20399
AECH_RNA17394_R5	gene_20400
LNIG_RNA16441_R0	gene_20401
LNIG_RNA14343_R8	gene_20402
LNIG_RNA16442_R0	gene_20403
LNIG_RNA16443_R0	gene_20404
LNIG_RNA16210_R1	gene_20405
CBIR_RNA22197_R0	gene_20406
LNIG_RNA16449_R0	gene_20407
LNIG_RNA14759_R5	gene_20408
LNIG_RNA16452_R0	gene_20409
MPHA_RNA2957_R0	gene_20410
LNIG_RNA16453_R0	gene_20411
LNIG_RNA14653_R8	gene_20412
LNIG_RNA16454_R0	gene_20413
MPHA_RNA21291_R0	gene_20414
LNIG_RNA16752_R9	gene_20415
LNIG_RNA16455_R0	gene_20416
LNIG_RNA16456_R0	gene_20417
LNIG_RNA12317_R9	gene_20418
LNIG_RNA17959_R2	gene_20419
LNIG_RNA7778_R1	gene_20420
LNIG_RNA7777_R1	gene_20421
SINV_RNA15514_R0	gene_20422
LNIG_RNA16457_R0	gene_20423
LNIG_RNA16458_R0	gene_20424
LNIG_RNA17698_R2	gene_20425
LNIG_RNA16460_R0	gene_20426
LNIG_RNA16461_R0	gene_20427
LHUM_RNA579_R5	gene_20428
LNIG_RNA16462_R0	gene_20429
LHUM_RNA15592_R0	gene_20430
LNIG_RNA16412_R2	gene_20431
LNIG_RNA16873_R8	gene_20432
LNIG_RNA16465_R0	gene_20433
LNIG_RNA16466_R0	gene_20434
MPHA_RNA91_R2	gene_20435
LNIG_RNA16470_R0	gene_20436
LNIG_RNA16471_R0	gene_20437
LNIG_RNA16473_R1	gene_20438
LNIG_RNA16472_R0	gene_20439
LNIG_RNA16473_R0	gene_20440
LNIG_RNA17383_R3	gene_20441
LNIG_RNA16474_R0	gene_20442
SINV_RNA10983_R4	gene_20443
CBIR_RNA11641_R6	gene_20444
LNIG_RNA16475_R0	gene_20445
SINV_RNA7399_R2	gene_20446
LNIG_RNA16476_R0	gene_20447
SINV_RNA21581_R5	gene_20448
LNIG_RNA17378_R6	gene_20449
LNIG_RNA16477_R0	gene_20450
LNIG_RNA16478_R0	gene_20451
LNIG_RNA16479_R0	gene_20452
LNIG_RNA16480_R0	gene_20453
SINV_RNA21410_R1	gene_20454
LNIG_RNA16481_R0	gene_20455
LNIG_RNA16482_R0	gene_20456
CBIR_RNA1333_R8	gene_20457
LNIG_RNA16316_R8	gene_20458
LNIG_RNA16483_R0	gene_20459
LNIG_RNA16484_R0	gene_20460
LNIG_RNA16486_R0	gene_20461
LNIG_RNA16488_R0	gene_20462
LNIG_RNA16489_R0	gene_20463
LNIG_RNA16490_R0	gene_20464
SINV_RNA7205_R7	gene_20465
LNIG_RNA16491_R0	gene_20466
LNIG_RNA15060_R6	gene_20468
LNIG_RNA12942_R2	gene_20467
LHUM_RNA16454_R0	gene_20469
NVIT_RNA25540_R0	gene_20470
SINV_RNA14758_R4	gene_20471
LNIG_RNA16495_R0	gene_20472
SINV_RNA21827_R0	gene_20473
LNIG_RNA16497_R0	gene_20474
SINV_RNA21911_R8	gene_20475
CBIR_RNA23516_R0	gene_20476
LNIG_RNA16499_R0	gene_20477
LNIG_RNA10004_R1	gene_20478
LNIG_RNA16501_R0	gene_20479
LNIG_RNA3851_R1	gene_20480
SINV_RNA19588_R5	gene_20481
AECH_RNA2983_R7	gene_20482
CBIR_RNA16117_R3	gene_20483
LNIG_RNA16873_R5	gene_20484
LNIG_RNA10493_R3	gene_20485
LNIG_RNA16504_R0	gene_20486
LNIG_RNA16505_R0	gene_20487
LNIG_RNA16506_R0	gene_20488
LNIG_RNA16507_R0	gene_20489
LNIG_RNA13307_R4	gene_20490
LNIG_RNA16508_R0	gene_20491
LNIG_RNA10391_R6	gene_20492
LNIG_RNA16855_R1	gene_20493
LNIG_RNA16509_R0	gene_20494
SINV_RNA22175_R6	gene_20495
LNIG_RNA2720_R4	gene_20496
LNIG_RNA16510_R0	gene_20497
LNIG_RNA16513_R0	gene_20498
LNIG_RNA16874_R3	gene_20499
LNIG_RNA16516_R0	gene_20500
LNIG_RNA16518_R0	gene_20501
LNIG_RNA13709_R3	gene_20502
LNIG_RNA16519_R0	gene_20503
LNIG_RNA7074_R8	gene_20504
LNIG_RNA16520_R0	gene_20505
LNIG_RNA16521_R0	gene_20506
LNIG_RNA16522_R0	gene_20507
LNIG_RNA16523_R0	gene_20508
LNIG_RNA16522_R1	gene_20509
LNIG_RNA16526_R0	gene_20510
MPHA_RNA1515_R2	gene_20511
LHUM_RNA2147_R6	gene_20512
AECH_RNA12400_R0	gene_20513
LNIG_RNA15687_R8	gene_20514
LNIG_RNA16529_R0	gene_20515
LNIG_RNA5511_R3	gene_20516
LNIG_RNA16531_R0	gene_20517
MPHA_RNA1578_R2	gene_20518
LNIG_RNA15650_R5	gene_20519
LNIG_RNA16532_R0	gene_20520
LNIG_RNA16533_R0	gene_20521
LNIG_RNA13253_R1	gene_20522
LNIG_RNA13851_R3	gene_20523
AECH_RNA18356_R0	gene_20524
LNIG_RNA16534_R0	gene_20525
NVIT_RNA8298_R0	gene_20526
LNIG_RNA16535_R0	gene_20527
LNIG_RNA16539_R0	gene_20528
LNIG_RNA16540_R0	gene_20529
LNIG_RNA16541_R0	gene_20530
LNIG_RNA16542_R0	gene_20532
CBIR_RNA2354_R2	gene_20531
LNIG_RNA14412_R1	gene_20533
LNIG_RNA9631_R7	gene_20534
LNIG_RNA16544_R0	gene_20535
LNIG_RNA14032_R1	gene_20536
AECH_RNA19847_R4	gene_20537
LNIG_RNA16548_R0	gene_20538
LNIG_RNA16549_R0	gene_20539
LNIG_RNA16550_R0	gene_20540
SINV_RNA16810_R1	gene_20542
SINV_RNA16807_R0	gene_20541
LNIG_RNA16551_R0	gene_20543
LNIG_RNA16552_R0	gene_20544
MPHA_RNA6959_R6	gene_20545
LHUM_RNA21881_R0	gene_20546
LNIG_RNA16554_R0	gene_20547
LNIG_RNA17996_R6	gene_20548
LNIG_RNA16557_R0	gene_20549
CBIR_RNA10799_R6	gene_20550
LNIG_RNA16560_R0	gene_20551
CBIR_RNA1801_R4	gene_20552
LNIG_RNA7157_R2	gene_20553
LNIG_RNA16562_R0	gene_20554
SINV_RNA21353_R4	gene_20555
LNIG_RNA16563_R0	gene_20556
LNIG_RNA6359_R1	gene_20557
LNIG_RNA16349_R2	gene_20558
LNIG_RNA16565_R0	gene_20559
LNIG_RNA7509_R1	gene_20560
SINV_RNA5358_R2	gene_20561
LNIG_RNA16567_R0	gene_20562
LNIG_RNA14343_R9	gene_20563
LNIG_RNA16568_R0	gene_20565
LNIG_RNA15647_R1	gene_20564
LNIG_RNA11712_R3	gene_20566
LNIG_RNA16569_R0	gene_20567
NVIT_RNA25593_R1	gene_20568
DQUA_RNA22382_R6	gene_20569
CBIR_RNA23921_R0	gene_20570
LNIG_RNA16571_R0	gene_20571
LNIG_RNA15417_R9	gene_20572
LNIG_RNA16572_R0	gene_20573
CBIR_RNA5664_R4	gene_20574
LNIG_RNA16574_R0	gene_20575
DQUA_RNA3179_R9	gene_20576
LNIG_RNA16575_R0	gene_20577
LNIG_RNA16576_R0	gene_20578
LNIG_RNA16577_R0	gene_20579
AECH_RNA18406_R2	gene_20580
DQUA_RNA15575_R4	gene_20581
LNIG_RNA16579_R0	gene_20582
LNIG_RNA16582_R0	gene_20583
LNIG_RNA16583_R0	gene_20584
LNIG_RNA16584_R0	gene_20585
LNIG_RNA9800_R2	gene_20586
DQUA_RNA23164_R3	gene_20587
LNIG_RNA16585_R0	gene_20588
LNIG_RNA16586_R0	gene_20589
LNIG_RNA16587_R0	gene_20590
CBIR_RNA20319_R2	gene_20591
LNIG_RNA16588_R0	gene_20592
AECH_RNA2983_R3	gene_20593
LNIG_RNA16592_R0	gene_20594
LNIG_RNA13467_R4	gene_20595
LNIG_RNA16593_R0	gene_20596
LNIG_RNA16594_R0	gene_20597
LNIG_RNA16954_R9	gene_20598
LNIG_RNA16597_R0	gene_20599
LNIG_RNA16598_R0	gene_20600
AECH_RNA6593_R9	gene_20601
LNIG_RNA16600_R0	gene_20602
LNIG_RNA16601_R0	gene_20603
LNIG_RNA16602_R0	gene_20604
LNIG_RNA17446_R7	gene_20605
LNIG_RNA16604_R0	gene_20606
LNIG_RNA16604_R1	gene_20607
LNIG_RNA16605_R0	gene_20608
LNIG_RNA10001_R5	gene_20609
CBIR_RNA15703_R1	gene_20610
LNIG_RNA16113_R1	gene_20611
LNIG_RNA14919_R1	gene_20613
LNIG_RNA16611_R0	gene_20612
LNIG_RNA16612_R0	gene_20614
MPHA_RNA20551_R4	gene_20615
LNIG_RNA16613_R0	gene_20616
AECH_RNA14044_R3	gene_20617
LNIG_RNA16701_R1	gene_20618
LHUM_RNA19050_R0	gene_20619
NVIT_RNA26121_R7	gene_20620
LNIG_RNA16615_R0	gene_20622
LNIG_RNA17529_R1	gene_20621
SINV_RNA9367_R3	gene_20623
LNIG_RNA13560_R6	gene_20624
MPHA_RNA8661_R2	gene_20625
LNIG_RNA17185_R2	gene_20626
LNIG_RNA13548_R2	gene_20628
LNIG_RNA16619_R0	gene_20627
LNIG_RNA10391_R3	gene_20629
LHUM_RNA3690_R0	gene_20630
LNIG_RNA17655_R1	gene_20631
LNIG_RNA14590_R2	gene_20632
LNIG_RNA16622_R0	gene_20633
LNIG_RNA16099_R1	gene_20634
MPHA_RNA8194_R0	gene_20635
LHUM_RNA20663_R6	gene_20636
LNIG_RNA16624_R0	gene_20637
LNIG_RNA16625_R0	gene_20638
LNIG_RNA16627_R0	gene_20639
LNIG_RNA16045_R6	gene_20640
SINV_RNA15216_R7	gene_20641
LNIG_RNA17378_R7	gene_20642
LNIG_RNA16629_R0	gene_20643
LHUM_RNA13827_R0	gene_20644
SINV_RNA18920_R6	gene_20645
NVIT_RNA26114_R2	gene_20646
LNIG_RNA16632_R0	gene_20647
CBIR_RNA23015_R2	gene_20648
LNIG_RNA16633_R0	gene_20649
LNIG_RNA16635_R0	gene_20650
LNIG_RNA17935_R8	gene_20651
DQUA_RNA23270_R3	gene_20652
LNIG_RNA16636_R0	gene_20653
LHUM_RNA870_R0	gene_20654
LNIG_RNA12091_R9	gene_20655
LNIG_RNA16638_R0	gene_20656
CBIR_RNA14408_R2	gene_20657
LNIG_RNA16640_R0	gene_20658
CBIR_RNA25331_R0	gene_20659
MPHA_RNA573_R0	gene_20660
LNIG_RNA17935_R4	gene_20661
LNIG_RNA16641_R0	gene_20662
LNIG_RNA17745_R8	gene_20663
SINV_RNA17331_R2	gene_20664
LNIG_RNA16644_R0	gene_20665
SINV_RNA4729_R6	gene_20666
LNIG_RNA11558_R3	gene_20667
MPHA_RNA6676_R1	gene_20668
LNIG_RNA16644_R1	gene_20669
SINV_RNA10967_R0	gene_20670
NVIT_RNA23630_R0	gene_20671
LNIG_RNA17704_R4	gene_20673
LNIG_RNA16933_R2	gene_20672
MPHA_RNA12295_R2	gene_20674
SINV_RNA13847_R6	gene_20675
LNIG_RNA16646_R0	gene_20676
LNIG_RNA12472_R6	gene_20677
LNIG_RNA15841_R2	gene_20678
LNIG_RNA16647_R0	gene_20679
LNIG_RNA16649_R0	gene_20680
LNIG_RNA16602_R1	gene_20681
LNIG_RNA16652_R0	gene_20682
LNIG_RNA16653_R0	gene_20683
LNIG_RNA16654_R0	gene_20684
LNIG_RNA14312_R4	gene_20685
LNIG_RNA16657_R0	gene_20686
LNIG_RNA16658_R0	gene_20687
LNIG_RNA16659_R0	gene_20688
SINV_RNA5258_R4	gene_20689
SINV_RNA388_R0	gene_20690
LHUM_RNA21582_R1	gene_20691
CBIR_RNA20815_R4	gene_20692
LNIG_RNA16663_R0	gene_20693
LNIG_RNA16665_R0	gene_20694
LNIG_RNA8986_R6	gene_20695
LNIG_RNA16666_R0	gene_20696
LNIG_RNA16667_R0	gene_20697
LNIG_RNA16668_R0	gene_20698
LNIG_RNA16669_R0	gene_20699
LNIG_RNA14350_R2	gene_20700
LNIG_RNA16248_R7	gene_20701
LNIG_RNA16670_R0	gene_20702
LHUM_RNA15098_R0	gene_20703
CBIR_RNA1885_R6	gene_20704
LNIG_RNA8986_R3	gene_20705
LNIG_RNA15713_R1	gene_20706
LNIG_RNA16674_R0	gene_20707
LNIG_RNA16675_R0	gene_20708
LNIG_RNA15762_R1	gene_20709
LNIG_RNA16676_R0	gene_20710
LNIG_RNA10896_R6	gene_20711
LNIG_RNA16677_R0	gene_20712
SINV_RNA9973_R0	gene_20713
LNIG_RNA16678_R0	gene_20714
LNIG_RNA12783_R3	gene_20715
LNIG_RNA16680_R0	gene_20716
LNIG_RNA16681_R0	gene_20717
AECH_RNA20610_R1	gene_20718
LNIG_RNA15475_R1	gene_20719
LNIG_RNA16421_R5	gene_20720
MPHA_RNA1372_R7	gene_20721
LNIG_RNA16685_R0	gene_20722
LNIG_RNA15271_R5	gene_20723
LNIG_RNA14647_R1	gene_20724
LNIG_RNA16687_R0	gene_20725
LNIG_RNA16688_R0	gene_20726
LNIG_RNA15994_R6	gene_20727
AECH_RNA13277_R1	gene_20728
LNIG_RNA16691_R0	gene_20729
LNIG_RNA16692_R0	gene_20730
LNIG_RNA16693_R0	gene_20731
MPHA_RNA2202_R0	gene_20732
LNIG_RNA16694_R0	gene_20733
LNIG_RNA16695_R0	gene_20734
LNIG_RNA16696_R0	gene_20735
DQUA_RNA13328_R3	gene_20736
MPHA_RNA2991_R1	gene_20737
LNIG_RNA16698_R0	gene_20738
SINV_RNA13507_R0	gene_20739
LNIG_RNA16700_R0	gene_20740
LNIG_RNA16701_R0	gene_20741
LNIG_RNA16711_R1	gene_20742
SINV_RNA18486_R0	gene_20743
AMEL_RNA27777_R0	gene_20744
LNIG_RNA16706_R0	gene_20745
LNIG_RNA16708_R0	gene_20746
LNIG_RNA11698_R4	gene_20747
SINV_RNA7555_R0	gene_20748
LNIG_RNA16858_R1	gene_20749
AECH_RNA20203_R4	gene_20750
LNIG_RNA16711_R0	gene_20751
AECH_RNA1341_R1	gene_20752
LNIG_RNA16490_R1	gene_20753
LNIG_RNA16713_R0	gene_20754
LNIG_RNA16714_R0	gene_20755
LNIG_RNA16715_R0	gene_20756
LNIG_RNA14284_R2	gene_20757
LNIG_RNA9449_R1	gene_20758
LNIG_RNA9742_R3	gene_20759
LNIG_RNA16717_R0	gene_20760
CBIR_RNA18628_R6	gene_20761
LNIG_RNA16219_R5	gene_20762
LNIG_RNA16473_R6	gene_20763
NVIT_RNA26087_R9	gene_20764
LNIG_RNA16718_R0	gene_20765
LNIG_RNA17185_R1	gene_20766
LNIG_RNA13548_R1	gene_20768
LNIG_RNA16719_R0	gene_20767
LNIG_RNA15362_R3	gene_20769
LNIG_RNA11486_R3	gene_20770
LNIG_RNA16720_R0	gene_20771
LNIG_RNA16721_R0	gene_20772
LNIG_RNA16722_R0	gene_20773
LNIG_RNA16723_R0	gene_20774
LHUM_RNA2168_R7	gene_20775
LNIG_RNA16724_R0	gene_20776
LNIG_RNA16725_R0	gene_20777
LNIG_RNA16726_R0	gene_20778
LNIG_RNA10014_R5	gene_20779
LNIG_RNA16727_R0	gene_20780
LNIG_RNA17462_R3	gene_20781
LNIG_RNA16728_R0	gene_20782
MPHA_RNA6752_R5	gene_20783
AECH_RNA12007_R0	gene_20784
LNIG_RNA16730_R0	gene_20785
LNIG_RNA16732_R0	gene_20787
LNIG_RNA8749_R1	gene_20786
LNIG_RNA16733_R0	gene_20788
LNIG_RNA16735_R0	gene_20789
AMEL_RNA27107_R6	gene_20790
LNIG_RNA15677_R6	gene_20791
LNIG_RNA15612_R2	gene_20792
LNIG_RNA16736_R0	gene_20793
LNIG_RNA16737_R0	gene_20794
LNIG_RNA16738_R0	gene_20795
LNIG_RNA16741_R0	gene_20796
MPHA_RNA16895_R1	gene_20797
LNIG_RNA8778_R7	gene_20799
LNIG_RNA16742_R0	gene_20798
LHUM_RNA20788_R7	gene_20800
LNIG_RNA16744_R0	gene_20801
LNIG_RNA12916_R5	gene_20802
LNIG_RNA16746_R0	gene_20803
LHUM_RNA1037_R0	gene_20804
LNIG_RNA16747_R0	gene_20805
LNIG_RNA16587_R3	gene_20806
LNIG_RNA16750_R0	gene_20807
LNIG_RNA16751_R0	gene_20808
LHUM_RNA306_R1	gene_20809
AMEL_RNA8231_R0	gene_20810
SINV_RNA20026_R0	gene_20811
LNIG_RNA14466_R5	gene_20812
LNIG_RNA16752_R0	gene_20813
LNIG_RNA16753_R0	gene_20814
LNIG_RNA16754_R0	gene_20815
LNIG_RNA16755_R0	gene_20816
LNIG_RNA16759_R0	gene_20817
AECH_RNA9938_R0	gene_20818
SINV_RNA19588_R2	gene_20819
LNIG_RNA9583_R1	gene_20820
LNIG_RNA16763_R0	gene_20822
LNIG_RNA16764_R0	gene_20821
LNIG_RNA16765_R0	gene_20823
CBIR_RNA13233_R0	gene_20824
AECH_RNA1473_R9	gene_20825
LNIG_RNA16766_R0	gene_20826
CBIR_RNA25234_R1	gene_20827
LNIG_RNA16767_R0	gene_20828
SINV_RNA18931_R3	gene_20829
SINV_RNA15533_R1	gene_20830
LNIG_RNA16768_R0	gene_20831
CBIR_RNA18140_R5	gene_20832
SINV_RNA6432_R1	gene_20833
CBIR_RNA12097_R4	gene_20834
LNIG_RNA13505_R5	gene_20835
AECH_RNA4728_R0	gene_20836
LNIG_RNA16770_R0	gene_20837
LNIG_RNA17562_R2	gene_20838
LNIG_RNA16771_R0	gene_20839
LNIG_RNA16772_R0	gene_20840
LNIG_RNA16773_R0	gene_20841
LNIG_RNA16774_R0	gene_20842
LNIG_RNA15805_R1	gene_20843
SINV_RNA17741_R2	gene_20844
LNIG_RNA16775_R0	gene_20845
NVIT_RNA5849_R0	gene_20846
MPHA_RNA6431_R0	gene_20847
LNIG_RNA16779_R0	gene_20848
LNIG_RNA17378_R1	gene_20849
LNIG_RNA16780_R0	gene_20850
SINV_RNA18308_R1	gene_20851
MPHA_RNA16895_R0	gene_20852
LNIG_RNA16781_R0	gene_20853
LNIG_RNA14706_R3	gene_20854
LNIG_RNA17552_R6	gene_20855
LNIG_RNA16784_R0	gene_20856
LNIG_RNA16785_R0	gene_20857
LNIG_RNA16625_R5	gene_20858
LNIG_RNA2672_R9	gene_20859
MPHA_RNA9929_R1	gene_20860
LNIG_RNA16786_R0	gene_20861
SINV_RNA12339_R0	gene_20862
LNIG_RNA16787_R0	gene_20863
LNIG_RNA16788_R0	gene_20864
AMEL_RNA3523_R2	gene_20865
LNIG_RNA16789_R0	gene_20866
LHUM_RNA2147_R5	gene_20867
LNIG_RNA16791_R0	gene_20868
LNIG_RNA16792_R0	gene_20869
